timestamp,username,city
2026-01-18 13:10:59,Jan,London
2026-01-18 13:04:51,Jan,Wien
2026-01-18 13:04:43,Jan,London
2026-01-18 13:03:10,Moritz,Graz
2026-01-18 12:53:00,Jan,London
2026-01-18 12:52:57,Jan,London
2026-01-17 15:40:07,Jan,London
2026-01-17 15:37:40,Jan,London
2026-01-17 15:35:31,Jan,London
2026-01-17 15:35:30,Jan,London
2026-01-17 15:35:29,Jan,London
2026-01-17 15:35:22,Jan,London
2026-01-17 15:35:20,Jan,London
2026-01-17 15:35:18,Jan,London
2026-01-17 15:35:17,Jan,London
2026-01-17 15:35:16,Jan,London
2026-01-17 15:35:16,Jan,London
2026-01-17 15:35:14,Jan,London
2026-01-17 15:35:14,Jan,London
2026-01-17 15:35:13,Jan,London
2026-01-17 15:35:12,Jan,London
2026-01-17 15:35:12,Jan,London
2026-01-17 15:35:11,Jan,London
2026-01-17 15:35:10,Jan,London
2026-01-17 15:35:05,Jan,London
2026-01-17 15:35:03,Jan,London
2026-01-17 15:35:03,Jan,London
2026-01-17 15:35:02,Jan,London
2026-01-17 15:35:01,Jan,London
2026-01-17 15:35:01,Jan,London
2026-01-17 15:34:59,Jan,London
2026-01-17 15:34:58,Jan,London
2026-01-17 14:17:38,Boris,Paris
2026-01-17 14:17:37,Boris,Paris
2026-01-17 14:17:36,Boris,Paris
2026-01-17 14:17:34,Boris,Paris
2026-01-17 14:15:06,Jan,Tokyo
2026-01-17 14:15:06,Jan,Tokyo
2026-01-17 14:15:05,Jan,Tokyo
2026-01-17 14:15:04,Jan,Tokyo
2026-01-17 14:15:03,Jan,Tokyo
2026-01-17 14:15:02,Jan,Tokyo
2026-01-17 14:14:56,Jan,Tokyo
2026-01-17 14:14:40,Jan,London
2026-01-17 14:14:30,Moritz,Graz
2026-01-17 14:12:54,Jan,London
2026-01-17 14:12:51,Jan,London
2026-01-17 14:12:49,Jan,London
2026-01-17 14:12:47,Jan,London
2026-01-17 14:12:46,Jan,London
2026-01-17 14:12:45,Jan,London
2026-01-17 14:12:45,Jan,London
2026-01-17 14:12:44,Jan,London
2026-01-17 14:12:43,Jan,London
2026-01-17 14:12:42,Jan,London
2026-01-17 14:12:39,Jan,London
2026-01-17 14:12:38,Jan,London
2026-01-17 14:12:38,Jan,London
2026-01-17 14:12:35,Jan,London
2026-01-17 14:12:34,Jan,London
2026-01-17 14:12:33,Jan,London
2026-01-17 14:12:29,Jan,London
